human,machine
7/13/17,2017-07-13
11 dec 1975,1975-12-11
november 24 1981,1981-11-24
09.06.12,2012-06-09
friday april 12 1985,1985-04-12
sunday january 25 1970,1970-01-25
14 09 13,2013-09-14
22 04 74,1974-04-22
june 23 1971,1971-06-23
4 01 76,1976-01-04
07 oct 2001,2001-10-07
november 29 1980,1980-11-29
dec 27 1992,1992-12-27
20 jun 1996,1996-06-20
8 may 2016,2016-05-08
wednesday september 9 1998,1998-09-09
22 march 2018,2018-03-22
26 sep 2017,2017-09-26
friday november 28 1997,1997-11-28
wednesday september 22 1999,1999-09-22
08 nov 2004,2004-11-08
22 dec 1972,1972-12-22
nov 16 1981,1981-11-16
october 7 1989,1989-10-07
december 8 1982,1982-12-08
tuesday june 30 2015,2015-06-30
08.08.89,1989-08-08
9 february 2008,2008-02-09
tuesday august 28 1979,1979-08-28
2/28/80,1980-02-28
tuesday june 28 1983,1983-06-28
09.03.93,1993-03-09
feb 15 2005,2005-02-15
monday december 23 1996,1996-12-23
january 18 1977,1977-01-18
monday june 26 1989,1989-06-26
29 oct 2008,2008-10-29
saturday january 10 2015,2015-01-10
17 05 77,1977-05-17
friday october 26 2007,2007-10-26
09 mar 1999,1999-03-09
march 15 1981,1981-03-15
7/17/00,2000-07-17
21 feb 2017,2017-02-21
jul 31 1999,1999-07-31
12 nov 1977,1977-11-12
11 sep 2011,2011-09-11
17 march 1976,1976-03-17
15 april 1996,1996-04-15
march 30 1975,1975-03-30
sunday february 12 2012,2012-02-12
sunday april 17 2005,2005-04-17
monday may 12 1986,1986-05-12
monday april 16 1990,1990-04-16
september 3 1980,1980-09-03
monday december 6 1982,1982-12-06
saturday january 30 1971,1971-01-30
thursday may 22 1980,1980-05-22
august 24 2005,2005-08-24
thursday january 20 1972,1972-01-20
sunday march 31 1974,1974-03-31
saturday june 2 1990,1990-06-02
26 apr 1983,1983-04-26
11/29/82,1982-11-29
august 7 1994,1994-08-07
17 02 76,1976-02-17
january 24 1975,1975-01-24
04.03.78,1978-03-04
december 27 2003,2003-12-27
08.06.10,2010-06-08
28 oct 1984,1984-10-28
sunday may 5 1996,1996-05-05
saturday july 31 1993,1993-07-31
25 sep 1980,1980-09-25
sunday march 7 2004,2004-03-07
22 may 2018,2018-05-22
thursday march 8 2018,2018-03-08
thursday november 20 1997,1997-11-20
05 may 1973,1973-05-05
thursday april 21 1988,1988-04-21
12 october 2003,2003-10-12
friday july 5 2013,2013-07-05
29 10 72,1972-10-29
sunday february 11 1973,1973-02-11
1 october 1989,1989-10-01
8 january 1972,1972-01-08
8 mar 2016,2016-03-08
2/12/87,1987-02-12
wednesday december 31 1986,1986-12-31
saturday august 16 2003,2003-08-16
saturday july 21 2001,2001-07-21
may 15 1987,1987-05-15
saturday august 5 2000,2000-08-05
friday january 22 1988,1988-01-22
saturday september 15 1990,1990-09-15
22 may 1996,1996-05-22
18 may 1985,1985-05-18
18 jul 2000,2000-07-18
friday november 30 2001,2001-11-30
friday november 17 2000,2000-11-17
friday july 21 1978,1978-07-21
27 april 1976,1976-04-27
saturday october 4 2014,2014-10-04
saturday april 15 2017,2017-04-15
31 mar 2018,2018-03-31
5/23/01,2001-05-23
3 jan 1989,1989-01-03
friday november 2 1979,1979-11-02
tuesday october 17 1978,1978-10-17
2/20/05,2005-02-20
1 september 1997,1997-09-01
20.02.00,2000-02-20
sunday june 25 1978,1978-06-25
monday november 21 2005,2005-11-21
24 may 2012,2012-05-24
11 december 2011,2011-12-11
saturday april 15 1978,1978-04-15
wednesday march 11 1987,1987-03-11
1/23/14,2014-01-23
tuesday december 20 1988,1988-12-20
monday december 18 1995,1995-12-18
friday april 24 1998,1998-04-24
20 sep 1997,1997-09-20
5/19/13,2013-05-19
august 21 1981,1981-08-21
friday january 28 2005,2005-01-28
26 january 2001,2001-01-26
sunday november 2 1980,1980-11-02
9 july 2018,2018-07-09
friday november 12 1976,1976-11-12
14.03.81,1981-03-14
tuesday june 7 2016,2016-06-07
february 14 2016,2016-02-14
30 jul 1997,1997-07-30
1 may 2010,2010-05-01
26 march 1997,1997-03-26
13 sep 1980,1980-09-13
13 october 2002,2002-10-13
tuesday february 1 1972,1972-02-01
18 april 2003,2003-04-18
friday december 8 1972,1972-12-08
13 08 92,1992-08-13
jun 5 1998,1998-06-05
wednesday june 2 2010,2010-06-02
31 october 1985,1985-10-31
sep 19 2001,2001-09-19
sep 24 2018,2018-09-24
monday december 29 1975,1975-12-29
sunday june 22 1980,1980-06-22
23 july 2008,2008-07-23
22 may 2016,2016-05-22
10 11 13,2013-11-10
september 6 1997,1997-09-06
thursday december 7 2006,2006-12-07
21 june 1987,1987-06-21
tuesday april 22 2003,2003-04-22
9/17/75,1975-09-17
sunday february 10 2002,2002-02-10
20 january 1991,1991-01-20
wednesday may 3 1978,1978-05-03
wednesday october 23 1991,1991-10-23
25 aug 1993,1993-08-25
may 28 1997,1997-05-28
27 08 10,2010-08-27
friday march 21 2003,2003-03-21
12 sep 1999,1999-09-12
thursday february 14 1980,1980-02-14
28 jun 1980,1980-06-28
23 nov 1992,1992-11-23
friday may 21 2010,2010-05-21
monday october 11 1982,1982-10-11
february 22 2015,2015-02-22
30 sep 1971,1971-09-30
sunday september 29 1991,1991-09-29
19.05.03,2003-05-19
october 21 1974,1974-10-21
25 02 01,2001-02-25
16 jan 1975,1975-01-16
saturday june 5 2004,2004-06-05
monday december 18 1972,1972-12-18
11.01.84,1984-01-11
wednesday april 15 1998,1998-04-15
sunday april 25 2004,2004-04-25
tuesday december 8 2009,2009-12-08
wednesday december 21 1977,1977-12-21
sunday december 16 2007,2007-12-16
oct 27 1990,1990-10-27
tuesday august 25 1992,1992-08-25
march 21 2017,2017-03-21
monday september 30 1985,1985-09-30
3/21/88,1988-03-21
tuesday january 26 1971,1971-01-26
23 february 2010,2010-02-23
sunday february 24 1991,1991-02-24
9/20/16,2016-09-20
saturday april 3 1971,1971-04-03
wednesday april 21 1993,1993-04-21
16 april 1999,1999-04-16
16 feb 2010,2010-02-16
wednesday july 2 1975,1975-07-02
23 nov 2008,2008-11-23
thursday august 9 2018,2018-08-09
saturday september 15 1984,1984-09-15
february 11 1988,1988-02-11
14 feb 1996,1996-02-14
saturday september 20 2014,2014-09-20
friday february 10 1984,1984-02-10
1 march 2017,2017-03-01
saturday march 9 1985,1985-03-09
tuesday august 26 1997,1997-08-26
02 jul 2012,2012-07-02
sunday august 28 1977,1977-08-28
sunday june 19 1983,1983-06-19
13 aug 2014,2014-08-13
nov 3 1980,1980-11-03
18 12 84,1984-12-18
6 september 1995,1995-09-06
24 june 1990,1990-06-24
saturday october 30 2004,2004-10-30
13 september 1993,1993-09-13
friday december 4 1998,1998-12-04
31 dec 1977,1977-12-31
26.05.95,1995-05-26
saturday march 29 2008,2008-03-29
friday august 6 1976,1976-08-06
14.06.75,1975-06-14
2 06 75,1975-06-02
saturday april 6 2002,2002-04-06
21 december 1981,1981-12-21
sunday september 7 1986,1986-09-07
august 22 1973,1973-08-22
tuesday september 3 2002,2002-09-03
jul 29 1987,1987-07-29
24 july 2008,2008-07-24
30 jul 1979,1979-07-30
friday july 25 1997,1997-07-25
wednesday april 29 1987,1987-04-29
april 10 2007,2007-04-10
6 june 2002,2002-06-06
2 january 1970,1970-01-02
24 september 1970,1970-09-24
sunday march 21 1999,1999-03-21
10 december 1979,1979-12-10
thursday june 10 2010,2010-06-10
saturday march 14 1987,1987-03-14
29 may 1989,1989-05-29
tuesday march 7 2017,2017-03-07
11/27/18,2018-11-27
wednesday november 20 1985,1985-11-20
friday december 26 1975,1975-12-26
5 june 1971,1971-06-05
apr 20 1970,1970-04-20
friday september 3 2010,2010-09-03
wednesday february 8 1984,1984-02-08
1 jun 1988,1988-06-01
09 jul 1978,1978-07-09
july 29 1973,1973-07-29
21 jul 2013,2013-07-21
wednesday august 29 1973,1973-08-29
7 jul 2016,2016-07-07
27 october 1980,1980-10-27
tuesday october 12 1971,1971-10-12
nov 11 1987,1987-11-11
monday september 1 2008,2008-09-01
21 april 2018,2018-04-21
wednesday october 30 2002,2002-10-30
june 11 1987,1987-06-11
saturday june 26 1993,1993-06-26
sunday january 11 1998,1998-01-11
sunday february 9 1992,1992-02-09
monday december 30 1985,1985-12-30
tuesday december 26 2000,2000-12-26
29 march 2004,2004-03-29
sunday march 12 1995,1995-03-12
may 31 2018,2018-05-31
28 january 2017,2017-01-28
thursday october 11 2001,2001-10-11
thursday august 20 1998,1998-08-20
thursday september 26 1985,1985-09-26
wednesday may 30 1973,1973-05-30
friday june 29 1990,1990-06-29
31 october 2013,2013-10-31
monday june 20 1977,1977-06-20
wednesday october 2 1974,1974-10-02
9 december 1976,1976-12-09
sunday october 27 2002,2002-10-27
sunday january 8 1995,1995-01-08
tuesday july 19 1994,1994-07-19
january 24 1986,1986-01-24
dec 8 2013,2013-12-08
sunday july 7 1985,1985-07-07
30.09.12,2012-09-30
thursday january 16 1997,1997-01-16
wednesday january 6 1982,1982-01-06
17 april 2001,2001-04-17
12 07 04,2004-07-12
sunday june 16 2013,2013-06-16
monday december 13 2004,2004-12-13
02.06.77,1977-06-02
july 26 1985,1985-07-26
03 oct 1994,1994-10-03
26 november 1990,1990-11-26
january 20 1994,1994-01-20
saturday january 22 1977,1977-01-22
friday august 25 1972,1972-08-25
16 july 1997,1997-07-16
17 jun 1979,1979-06-17
sunday march 20 2016,2016-03-20
may 29 2015,2015-05-29
31 december 1978,1978-12-31
july 9 1983,1983-07-09
tuesday october 17 2017,2017-10-17
wednesday april 19 2006,2006-04-19
31 january 2004,2004-01-31
13.09.18,2018-09-13
march 20 2018,2018-03-20
25 dec 2008,2008-12-25
20 november 2008,2008-11-20
wednesday august 10 1977,1977-08-10
monday december 7 2009,2009-12-07
23.10.08,2008-10-23
12 08 06,2006-08-12
wednesday november 3 1971,1971-11-03
monday august 17 1998,1998-08-17
3 may 1987,1987-05-03
5/29/89,1989-05-29
aug 17 2003,2003-08-17
tuesday january 9 1996,1996-01-09
10 july 2014,2014-07-10
saturday april 19 2014,2014-04-19
february 19 1976,1976-02-19
wednesday january 29 2003,2003-01-29
tuesday october 16 2018,2018-10-16
28 11 87,1987-11-28
sunday august 4 2013,2013-08-04
monday august 25 1980,1980-08-25
tuesday october 15 1974,1974-10-15
tuesday july 1 2008,2008-07-01
30 dec 1971,1971-12-30
friday october 26 2018,2018-10-26
25 november 2017,2017-11-25
wednesday july 17 1974,1974-07-17
friday september 14 1979,1979-09-14
monday december 29 1986,1986-12-29
october 26 2004,2004-10-26
july 28 2006,2006-07-28
thursday july 4 1991,1991-07-04
5 dec 2004,2004-12-05
thursday november 27 2014,2014-11-27
24 august 1981,1981-08-24
6 dec 2001,2001-12-06
saturday may 22 1976,1976-05-22
11 january 1999,1999-01-11
february 26 2013,2013-02-26
9 april 1984,1984-04-09
9 october 1988,1988-10-09
31 mar 1975,1975-03-31
october 14 1984,1984-10-14
sunday december 4 2005,2005-12-04
tuesday april 19 1977,1977-04-19
saturday september 7 1996,1996-09-07
21 apr 1996,1996-04-21
monday august 9 2010,2010-08-09
wednesday december 7 2011,2011-12-07
thursday january 8 1970,1970-01-08
saturday february 19 2011,2011-02-19
march 10 2008,2008-03-10
august 24 1988,1988-08-24
26.01.94,1994-01-26
12/8/73,1973-12-08
3/18/78,1978-03-18
16.06.88,1988-06-16
mar 24 1975,1975-03-24
saturday march 1 2008,2008-03-01
december 6 1995,1995-12-06
wednesday september 22 1982,1982-09-22
16 september 2000,2000-09-16
30 october 1975,1975-10-30
august 5 1981,1981-08-05
9 mar 2015,2015-03-09
may 4 1990,1990-05-04
monday march 19 2007,2007-03-19
23 february 2013,2013-02-23
11 july 1992,1992-07-11
friday september 4 1992,1992-09-04
8 may 1989,1989-05-08
thursday november 10 2011,2011-11-10
9/27/95,1995-09-27
tuesday february 13 1973,1973-02-13
9/22/15,2015-09-22
18 jun 2012,2012-06-18
friday february 29 2008,2008-02-29
19 january 1978,1978-01-19
24 oct 1976,1976-10-24
30 march 1997,1997-03-30
august 19 1987,1987-08-19
january 12 1984,1984-01-12
17 may 2015,2015-05-17
friday january 8 1999,1999-01-08
19 feb 1977,1977-02-19
27 may 1994,1994-05-27
3 october 1980,1980-10-03
sunday march 18 2001,2001-03-18
30 september 1998,1998-09-30
thursday september 3 1981,1981-09-03
22 nov 1982,1982-11-22
25 sep 2011,2011-09-25
4 01 88,1988-01-04
wednesday august 8 2012,2012-08-08
29 december 1976,1976-12-29
9 apr 2010,2010-04-09
thursday january 2 1986,1986-01-02
13 jun 2002,2002-06-13
december 17 1988,1988-12-17
wednesday september 23 1981,1981-09-23
17.03.80,1980-03-17
thursday january 29 1981,1981-01-29
8 aug 2005,2005-08-08
friday december 25 1987,1987-12-25
12/17/16,2016-12-17
december 11 1973,1973-12-11
tuesday october 7 2003,2003-10-07
wednesday october 19 1994,1994-10-19
january 21 2010,2010-01-21
tuesday march 22 2011,2011-03-22
thursday february 11 1982,1982-02-11
27 08 03,2003-08-27
07 sep 1999,1999-09-07
monday october 28 1974,1974-10-28
friday july 20 1984,1984-07-20
1 may 1994,1994-05-01
4/16/84,1984-04-16
sunday may 2 2010,2010-05-02
sunday september 16 2018,2018-09-16
13 oct 1970,1970-10-13
sunday july 12 1998,1998-07-12
26.01.74,1974-01-26
may 26 2016,2016-05-26
march 3 2005,2005-03-03
tuesday february 26 2002,2002-02-26
thursday march 19 1998,1998-03-19
saturday march 25 2017,2017-03-25
monday february 27 1978,1978-02-27
saturday december 7 1991,1991-12-07
september 13 2005,2005-09-13
tuesday december 21 1999,1999-12-21
10 august 1977,1977-08-10
22 december 2012,2012-12-22
saturday april 10 2010,2010-04-10
03.02.95,1995-02-03
friday may 28 2004,2004-05-28
19 april 2008,2008-04-19
13 november 1980,1980-11-13
02.06.01,2001-06-02
tuesday march 28 1972,1972-03-28
20.03.82,1982-03-20
18 nov 1983,1983-11-18
thursday august 15 1974,1974-08-15
saturday april 25 1992,1992-04-25
15.04.04,2004-04-15
august 11 1990,1990-08-11
saturday june 19 1993,1993-06-19
15 dec 2009,2009-12-15
16 july 1980,1980-07-16
july 29 1985,1985-07-29
thursday november 16 1995,1995-11-16
wednesday december 17 1975,1975-12-17
14 august 2012,2012-08-14
saturday august 28 2010,2010-08-28
wednesday october 24 1979,1979-10-24
29 aug 1995,1995-08-29
thursday september 28 1978,1978-09-28
tuesday november 10 1987,1987-11-10
january 5 1977,1977-01-05
28 02 12,2012-02-28
21 august 2000,2000-08-21
may 6 2018,2018-05-06
thursday october 1 1998,1998-10-01
wednesday november 28 2018,2018-11-28
friday march 14 1980,1980-03-14
thursday november 17 1994,1994-11-17
1 may 2011,2011-05-01
20 nov 2002,2002-11-20
11 march 1973,1973-03-11
12 mar 1970,1970-03-12
sunday january 28 1990,1990-01-28
sunday july 4 2010,2010-07-04
7 july 2004,2004-07-07
2 apr 1998,1998-04-02
16 nov 1977,1977-11-16
december 2 2007,2007-12-02
8/13/90,1990-08-13
30 nov 1973,1973-11-30
saturday march 30 2002,2002-03-30
3/26/72,1972-03-26
august 13 1993,1993-08-13
26 october 2015,2015-10-26
monday january 1 2007,2007-01-01
friday may 23 1980,1980-05-23
saturday october 27 2018,2018-10-27
saturday december 25 1999,1999-12-25
8 feb 1989,1989-02-08
20 jun 1974,1974-06-20
tuesday april 24 1984,1984-04-24
wednesday october 27 1982,1982-10-27
friday may 11 2001,2001-05-11
20 august 2010,2010-08-20
8 may 1971,1971-05-08
saturday november 26 1988,1988-11-26
9 january 2014,2014-01-09
tuesday october 22 1985,1985-10-22
wednesday october 24 2001,2001-10-24
july 30 1986,1986-07-30
monday december 19 1994,1994-12-19
friday january 19 1996,1996-01-19
thursday january 15 2015,2015-01-15
8/13/72,1972-08-13
december 12 2015,2015-12-12
26 may 2014,2014-05-26
30 aug 2010,2010-08-30
tuesday february 5 1985,1985-02-05
wednesday october 27 2004,2004-10-27
04.12.94,1994-12-04
saturday november 3 2007,2007-11-03
tuesday september 5 1989,1989-09-05
06 feb 1996,1996-02-06
2/5/18,2018-02-05
tuesday september 21 2004,2004-09-21
may 13 2008,2008-05-13
9 oct 2018,2018-10-09
11 05 02,2002-05-11
wednesday april 28 2004,2004-04-28
13.02.81,1981-02-13
wednesday june 24 1992,1992-06-24
21 sep 1980,1980-09-21
31 oct 2008,2008-10-31
5/11/04,2004-05-11
2 dec 1973,1973-12-02
monday april 14 1975,1975-04-14
9/4/03,2003-09-04
27 jun 1977,1977-06-27
9 aug 1987,1987-08-09
saturday march 29 1997,1997-03-29
august 14 1974,1974-08-14
saturday july 9 2005,2005-07-09
13 april 2018,2018-04-13
8 october 1987,1987-10-08
19 03 76,1976-03-19
24 feb 1985,1985-02-24
1 may 1975,1975-05-01
tuesday february 21 2012,2012-02-21
22 mar 1973,1973-03-22
28 november 1972,1972-11-28
friday march 17 2000,2000-03-17
26 05 07,2007-05-26
july 14 1993,1993-07-14
wednesday september 3 1986,1986-09-03
mar 22 2001,2001-03-22
sunday august 14 1977,1977-08-14
wednesday august 5 2015,2015-08-05
sep 7 1991,1991-09-07
22 nov 1993,1993-11-22
26 sep 1977,1977-09-26
09.01.14,2014-01-09
saturday may 16 1981,1981-05-16
thursday december 21 1995,1995-12-21
23 dec 1994,1994-12-23
23 08 81,1981-08-23
16 04 90,1990-04-16
thursday october 17 2013,2013-10-17
sunday december 30 2012,2012-12-30
march 22 2000,2000-03-22
10/4/71,1971-10-04
april 8 2011,2011-04-08
3 january 1987,1987-01-03
23 jun 1986,1986-06-23
wednesday june 7 2000,2000-06-07
december 25 1974,1974-12-25
sunday february 22 1970,1970-02-22
may 14 1973,1973-05-14
01 jan 2003,2003-01-01
21 nov 1987,1987-11-21
march 27 2004,2004-03-27
27 march 2014,2014-03-27
thursday june 20 1996,1996-06-20
18 january 2010,2010-01-18
wednesday july 28 1982,1982-07-28
6 july 1990,1990-07-06
september 28 1991,1991-09-28
22 may 1975,1975-05-22
thursday may 30 1996,1996-05-30
20.05.73,1973-05-20
2 december 2011,2011-12-02
april 5 1977,1977-04-05
14 october 2015,2015-10-14
tuesday october 5 1976,1976-10-05
tuesday october 7 1997,1997-10-07
18 11 09,2009-11-18
1 april 2002,2002-04-01
27 jan 2013,2013-01-27
27 may 1975,1975-05-27
02.02.92,1992-02-02
thursday november 14 2013,2013-11-14
tuesday august 5 1980,1980-08-05
12 may 2005,2005-05-12
wednesday october 13 2004,2004-10-13
25 04 06,2006-04-25
25 jan 2000,2000-01-25
friday april 12 1996,1996-04-12
30 sep 1997,1997-09-30
tuesday february 1 2011,2011-02-01
may 2 1993,1993-05-02
3 december 2002,2002-12-03
5 november 1970,1970-11-05
03.08.91,1991-08-03
december 22 1996,1996-12-22
7 aug 1996,1996-08-07
june 27 2005,2005-06-27
monday july 18 1988,1988-07-18
29 oct 1971,1971-10-29
friday july 1 1983,1983-07-01
20 feb 1978,1978-02-20
wednesday october 10 2007,2007-10-10
apr 24 1995,1995-04-24
14 may 1993,1993-05-14
26 sep 1979,1979-09-26
monday october 28 1991,1991-10-28
7 july 2005,2005-07-07
09.04.94,1994-04-09
22.05.93,1993-05-22
thursday june 12 1980,1980-06-12
13 01 80,1980-01-13
wednesday april 2 1986,1986-04-02
24.05.79,1979-05-24
6 mar 2017,2017-03-06
monday november 10 1986,1986-11-10
18 july 1977,1977-07-18
friday october 13 2000,2000-10-13
26 dec 1997,1997-12-26
23 december 1995,1995-12-23
2 may 1989,1989-05-02
wednesday march 9 2016,2016-03-09
24 sep 2016,2016-09-24
saturday february 23 2002,2002-02-23
